rank,originalTitle,tconst,averageRating,numVotes,titleType,primaryTitle,startYear,runtimeMinutes,genres
1,The Wizard of Oz,tt0032138,8,364834,movie,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy"
2,Casablanca,tt0034583,8.5,506016,movie,Casablanca,1942,102,"Drama,Romance,War"
3,Scarface,tt0086250,8.3,714600,movie,Scarface,1983,170,"Crime,Drama"
4,Gone with the Wind,tt0031381,8.1,281753,movie,Gone with the Wind,1939,238,"Drama,History,Romance"
5,Star Wars,tt0076759,8.6,1196753,movie,Star Wars: Episode IV - A New Hope,1977,121,"Action,Adventure,Fantasy"
6,Titanic,tt0120338,7.8,1016906,movie,Titanic,1997,194,"Drama,Romance"
7,The Matrix,tt0133093,8.7,1619133,movie,The Matrix,1999,136,"Action,Sci-Fi"
8,Pulp Fiction,tt0110912,8.9,1766742,movie,Pulp Fiction,1994,154,"Crime,Drama"
9,The Godfather,tt0068646,9.2,1558003,movie,The Godfather,1972,175,"Crime,Drama"
10,Rocky,tt0075148,8.1,502557,movie,Rocky,1976,120,"Drama,Sport"
11,Fight Club,tt0137523,8.8,1793792,movie,Fight Club,1999,139,Drama
12,Braveheart,tt0112573,8.3,936500,movie,Braveheart,1995,178,"Biography,Drama,History"
13,The Shawshank Redemption,tt0111161,9.3,2257918,movie,The Shawshank Redemption,1994,142,Drama
14,"The Good, The Bad and The Ugly",tt0060196,8.8,667818,movie,"The Good, The Bad and The Ugly",1966,178,Western
15,Bullitt,tt0062765,7.4,58825,movie,Bullitt,1968,114,"Action,Crime,Thriller"
16,Star Wars: Episode V - The Empire Strikes Back,tt0080684,8.7,1124450,movie,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action,Adventure,Fantasy"
17,Caddyshack,tt0080487,7.3,102143,movie,Caddyshack,1980,98,"Comedy,Sport"
18,Sunset Boulevard,tt0043014,8.4,193732,movie,Sunset Boulevard,1950,110,"Drama,Film-Noir"
19,2001: A Space Odyssey,tt0062622,8.3,582446,movie,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi"
20,Cool Hand Luke,tt0061512,8.1,157193,movie,Cool Hand Luke,1967,127,"Crime,Drama"
21,Imagine: John Lennon,tt0095360,7.9,4475,movie,Imagine: John Lennon,1988,100,"Biography,Documentary,Music"
22,Harry Potter and the Sorcerer's Stone,tt0241527,7.6,618456,movie,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy"
23,Rebel Without a Cause,tt0048545,7.7,80920,movie,Rebel Without a Cause,1955,111,Drama
24,300,tt0416449,7.6,719289,movie,300,2006,117,"Action,Drama"
25,Twilight,tt1099212,5.2,413143,movie,Twilight,2008,122,"Drama,Fantasy,Romance"
26,To Kill a Mockingbird,tt0056592,8.2,286988,movie,To Kill a Mockingbird,1962,129,"Crime,Drama"
27,Office Space,tt0151804,7.7,236342,movie,Office Space,1999,89,Comedy
28,The Usual Suspects,tt0114814,8.5,961427,movie,The Usual Suspects,1995,106,"Crime,Mystery,Thriller"
29,Star Wars: Episode VI - Return of the Jedi,tt0086190,8.3,921941,movie,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action,Adventure,Fantasy"
30,The Searchers,tt0049730,7.9,77735,movie,The Searchers,1956,119,"Adventure,Drama,Western"
